%
Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE A = A[31] A[30] A[29] A[28] A[27] A[26] A[25] A[24] A[23] A[22] A[21] A[20] A[19] A[18] A[17] A[16] A[15] A[14] A[13] A[12] A[11] A[10] A[9] A[8] A[7] A[6] A[5] A[4] A[3] A[2] A[1] A[0] ;
GROUP CREATE B = B[31] B[30] B[29] B[28] B[27] B[26] B[25] B[24] B[23] B[22] B[21] B[20] B[19] B[18] B[17] B[16] B[15] B[14] B[13] B[12] B[11] B[10] B[9] B[8] B[7] B[6] B[5] B[4] B[3] B[2] B[1] B[0] ;
GROUP CREATE S = S[32] S[31] S[30] S[29] S[28] S[27] S[26] S[25] S[24] S[23] S[22] S[21] S[20] S[19] S[18] S[17] S[16] S[15] S[14] S[13] S[12] S[11] S[10] S[9] S[8] S[7] S[6] S[5] S[4] S[3] S[2] S[1] S[0] ;
INPUTS A B Cin;
OUTPUTS S;
UNIT ns;
RADIX HEX;
PATTERN
   0.0> 00000000 00000000 0 = 000000000 
 100.0> 00000001 FFFFFFFF 0 = 000000000 
109.119> 00000001 FFFFFFFF 0 = 000400000 
109.236> 00000001 FFFFFFFF 0 = 000400010 
 109.27> 00000001 FFFFFFFF 0 = 000400012 
109.445> 00000001 FFFFFFFF 0 = 001400012 
109.578> 00000001 FFFFFFFF 0 = 001420012 
109.789> 00000001 FFFFFFFF 0 = 00142001A 
109.793> 00000001 FFFFFFFF 0 = 00142101A 
109.862> 00000001 FFFFFFFF 0 = 00142101B 
110.085> 00000001 FFFFFFFF 0 = 00142121B 
110.518> 00000001 FFFFFFFF 0 = 00142161B 
111.014> 00000001 FFFFFFFF 0 = 00342161B 
111.444> 00000001 FFFFFFFF 0 = 00362161B 
111.577> 00000001 FFFFFFFF 0 = 08362161B 
111.703> 00000001 FFFFFFFF 0 = 08362161F 
111.818> 00000001 FFFFFFFF 0 = 08372161F 
111.916> 00000001 FFFFFFFF 0 = 083F2161F 
112.008> 00000001 FFFFFFFF 0 = 083F2161E 
112.025> 00000001 FFFFFFFF 0 = 083F2361E 
112.217> 00000001 FFFFFFFF 0 = 083F3361E 
112.245> 00000001 FFFFFFFF 0 = 083F33E1E 
112.268> 00000001 FFFFFFFF 0 = 093F33E1E 
112.312> 00000001 FFFFFFFF 0 = 097F33E1E 
 112.32> 00000001 FFFFFFFF 0 = 097F33E3E 
112.502> 00000001 FFFFFFFF 0 = 097F33EBE 
112.528> 00000001 FFFFFFFF 0 = 097F33EBC 
112.537> 00000001 FFFFFFFF 0 = 0B7F33EBC 
112.571> 00000001 FFFFFFFF 0 = 0B7F37EBC 
112.638> 00000001 FFFFFFFF 0 = 0B7F37EFC 
112.834> 00000001 FFFFFFFF 0 = 0B7FB7EFC 
113.172> 00000001 FFFFFFFF 0 = 0B7FF7EFC 
113.237> 00000001 FFFFFFFF 0 = 0BFFF7EFC 
113.355> 00000001 FFFFFFFF 0 = 0BFFFFEFC 
113.758> 00000001 FFFFFFFF 0 = 0BFFFFEF4 
113.849> 00000001 FFFFFFFF 0 = 0FFFFFEF4 
114.143> 00000001 FFFFFFFF 0 = 0FFFFFEE4 
114.293> 00000001 FFFFFFFF 0 = 0FFFFFFE4 
115.504> 00000001 FFFFFFFF 0 = 0FFFFFFE0 
 120.71> 00000001 FFFFFFFF 0 = 0FFFFFFC0 
121.414> 00000001 FFFFFFFF 0 = 0FFFFFF80 
122.065> 00000001 FFFFFFFF 0 = 0FFFFFF00 
123.072> 00000001 FFFFFFFF 0 = 0FFFFFD00 
124.191> 00000001 FFFFFFFF 0 = 0FFFFFC00 
128.799> 00000001 FFFFFFFF 0 = 0FFFFF800 
132.611> 00000001 FFFFFFFF 0 = 0FFFFE800 
 132.67> 00000001 FFFFFFFF 0 = 0FFFFE000 
134.206> 00000001 FFFFFFFF 0 = 0FFFFA000 
134.404> 00000001 FFFFFFFF 0 = 0FFFF2000 
135.593> 00000001 FFFFFFFF 0 = 0FFFF0000 
138.588> 00000001 FFFFFFFF 0 = 0FFFE0000 
138.953> 00000001 FFFFFFFF 0 = 0FFFC0000 
142.528> 00000001 FFFFFFFF 0 = 0FFF80000 
142.823> 00000001 FFFFFFFF 0 = 0FFF00000 
143.451> 00000001 FFFFFFFF 0 = 0FFE00000 
 145.78> 00000001 FFFFFFFF 0 = 0FFC00000 
147.017> 00000001 FFFFFFFF 0 = 0FF800000 
147.517> 00000001 FFFFFFFF 0 = 0FF000000 
148.148> 00000001 FFFFFFFF 0 = 0FD000000 
148.445> 00000001 FFFFFFFF 0 = 0FC000000 
149.747> 00000001 FFFFFFFF 0 = 0F8000000 
154.854> 00000001 FFFFFFFF 0 = 0F0000000 
155.186> 00000001 FFFFFFFF 0 = 0D0000000 
155.532> 00000001 FFFFFFFF 0 = 0C0000000 
156.088> 00000001 FFFFFFFF 0 = 040000000 
156.356> 00000001 FFFFFFFF 0 = 140000000 
158.125> 00000001 FFFFFFFF 0 = 100000000 
  200.0> FFFFFFFF 00000001 0 = 100000000 
 208.88> FFFFFFFF 00000001 0 = 100000010 
209.119> FFFFFFFF 00000001 0 = 100400010 
209.236> FFFFFFFF 00000001 0 = 100400000 
 209.27> FFFFFFFF 00000001 0 = 100400002 
209.389> FFFFFFFF 00000001 0 = 100400000 
209.468> FFFFFFFF 00000001 0 = 100408000 
209.548> FFFFFFFF 00000001 0 = 102408000 
209.578> FFFFFFFF 00000001 0 = 102428000 
209.618> FFFFFFFF 00000001 0 = 102C28000 
 209.66> FFFFFFFF 00000001 0 = 102C28800 
209.789> FFFFFFFF 00000001 0 = 102C28808 
209.793> FFFFFFFF 00000001 0 = 102C29808 
209.815> FFFFFFFF 00000001 0 = 102829808 
209.849> FFFFFFFF 00000001 0 = 102829800 
209.955> FFFFFFFF 00000001 0 = 102829808 
209.965> FFFFFFFF 00000001 0 = 102829818 
 210.01> FFFFFFFF 00000001 0 = 102809818 
210.027> FFFFFFFF 00000001 0 = 102809808 
210.028> FFFFFFFF 00000001 0 = 10280D808 
 210.06> FFFFFFFF 00000001 0 = 10280DC08 
210.085> FFFFFFFF 00000001 0 = 10280DE08 
210.248> FFFFFFFF 00000001 0 = 102809E08 
210.249> FFFFFFFF 00000001 0 = 100809E08 
210.254> FFFFFFFF 00000001 0 = 100809E28 
210.316> FFFFFFFF 00000001 0 = 100009E28 
 210.34> FFFFFFFF 00000001 0 = 100009E38 
210.382> FFFFFFFF 00000001 0 = 100009E30 
210.432> FFFFFFFF 00000001 0 = 104009E30 
210.497> FFFFFFFF 00000001 0 = 104009E38 
210.518> FFFFFFFF 00000001 0 = 104009A38 
210.546> FFFFFFFF 00000001 0 = 105009A38 
210.618> FFFFFFFF 00000001 0 = 105009A30 
210.628> FFFFFFFF 00000001 0 = 105009AB0 
210.638> FFFFFFFF 00000001 0 = 105009AF0 
210.716> FFFFFFFF 00000001 0 = 105019AF0 
210.767> FFFFFFFF 00000001 0 = 105019AE0 
210.787> FFFFFFFF 00000001 0 = 105819AE0 
210.882> FFFFFFFF 00000001 0 = 105819AF0 
211.003> FFFFFFFF 00000001 0 = 105819AE0 
211.244> FFFFFFFF 00000001 0 = 104819AE0 
211.444> FFFFFFFF 00000001 0 = 104A19AE0 
211.577> FFFFFFFF 00000001 0 = 184A19AE0 
211.621> FFFFFFFF 00000001 0 = 084A19AE0 
211.688> FFFFFFFF 00000001 0 = 084A18AE0 
211.703> FFFFFFFF 00000001 0 = 084A18AE4 
211.813> FFFFFFFF 00000001 0 = 004A18AE4 
211.818> FFFFFFFF 00000001 0 = 004B18AE4 
211.916> FFFFFFFF 00000001 0 = 004318AE4 
211.925> FFFFFFFF 00000001 0 = 024318AE4 
212.025> FFFFFFFF 00000001 0 = 02431AAE4 
212.128> FFFFFFFF 00000001 0 = 02431AAE0 
212.143> FFFFFFFF 00000001 0 = 02435AAE0 
212.215> FFFFFFFF 00000001 0 = 0243DAAE0 
212.217> FFFFFFFF 00000001 0 = 0243CAAE0 
212.219> FFFFFFFF 00000001 0 = 0241CAAE0 
212.243> FFFFFFFF 00000001 0 = 0241CAAE4 
212.245> FFFFFFFF 00000001 0 = 0241CA2E4 
212.257> FFFFFFFF 00000001 0 = 1241CA2E4 
212.265> FFFFFFFF 00000001 0 = 1241CA0E4 
212.268> FFFFFFFF 00000001 0 = 1341CA0E4 
 212.32> FFFFFFFF 00000001 0 = 1341CA0C4 
212.364> FFFFFFFF 00000001 0 = 1341CA0C0 
212.462> FFFFFFFF 00000001 0 = 1340CA0C0 
212.502> FFFFFFFF 00000001 0 = 1340CA040 
212.537> FFFFFFFF 00000001 0 = 1140CA040 
212.546> FFFFFFFF 00000001 0 = 1100CA040 
212.571> FFFFFFFF 00000001 0 = 1100CE040 
212.597> FFFFFFFF 00000001 0 = 1180CE040 
212.638> FFFFFFFF 00000001 0 = 1180CE000 
212.681> FFFFFFFF 00000001 0 = 1184CE000 
212.714> FFFFFFFF 00000001 0 = 1384CE000 
 212.77> FFFFFFFF 00000001 0 = 1384C6000 
212.782> FFFFFFFF 00000001 0 = 1384C4000 
212.827> FFFFFFFF 00000001 0 = 1B84C4000 
212.834> FFFFFFFF 00000001 0 = 1B8444000 
212.897> FFFFFFFF 00000001 0 = 198444000 
213.057> FFFFFFFF 00000001 0 = 188444000 
213.095> FFFFFFFF 00000001 0 = 088444000 
213.152> FFFFFFFF 00000001 0 = 088404000 
213.172> FFFFFFFF 00000001 0 = 088444000 
213.181> FFFFFFFF 00000001 0 = 088C44000 
213.237> FFFFFFFF 00000001 0 = 080C44000 
213.287> FFFFFFFF 00000001 0 = 080C40000 
213.355> FFFFFFFF 00000001 0 = 080C48000 
213.454> FFFFFFFF 00000001 0 = 080848000 
213.467> FFFFFFFF 00000001 0 = 0808C8000 
213.485> FFFFFFFF 00000001 0 = 0808C0000 
213.583> FFFFFFFF 00000001 0 = 080880000 
213.799> FFFFFFFF 00000001 0 = 000880000 
213.812> FFFFFFFF 00000001 0 = 002880000 
213.849> FFFFFFFF 00000001 0 = 042880000 
213.878> FFFFFFFF 00000001 0 = 042800000 
213.954> FFFFFFFF 00000001 0 = 042000000 
213.998> FFFFFFFF 00000001 0 = 042000100 
214.026> FFFFFFFF 00000001 0 = 002000100 
