%
Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE A = A[31] A[30] A[29] A[28] A[27] A[26] A[25] A[24] A[23] A[22] A[21] A[20] A[19] A[18] A[17] A[16] A[15] A[14] A[13] A[12] A[11] A[10] A[9] A[8] A[7] A[6] A[5] A[4] A[3] A[2] A[1] A[0] ;
GROUP CREATE B = B[31] B[30] B[29] B[28] B[27] B[26] B[25] B[24] B[23] B[22] B[21] B[20] B[19] B[18] B[17] B[16] B[15] B[14] B[13] B[12] B[11] B[10] B[9] B[8] B[7] B[6] B[5] B[4] B[3] B[2] B[1] B[0] ;
GROUP CREATE S = S[32] S[31] S[30] S[29] S[28] S[27] S[26] S[25] S[24] S[23] S[22] S[21] S[20] S[19] S[18] S[17] S[16] S[15] S[14] S[13] S[12] S[11] S[10] S[9] S[8] S[7] S[6] S[5] S[4] S[3] S[2] S[1] S[0] ;
INPUTS A B Cin;
OUTPUTS S;
UNIT ns;
RADIX HEX;
PATTERN
   0.0> 00000000 00000000 0 = 000000000 
 100.0> 00000001 FFFFFFFF 0 = 000000000 
108.675> 00000001 FFFFFFFF 0 = 000000001 
108.756> 00000001 FFFFFFFF 0 = 000000011 
109.021> 00000001 FFFFFFFF 0 = 000000015 
109.108> 00000001 FFFFFFFF 0 = 00000001D 
109.155> 00000001 FFFFFFFF 0 = 00000001F 
109.404> 00000001 FFFFFFFF 0 = 00000001E 
109.516> 00000001 FFFFFFFF 0 = 02000001E 
109.534> 00000001 FFFFFFFF 0 = 02000003E 
109.567> 00000001 FFFFFFFF 0 = 02100003E 
109.581> 00000001 FFFFFFFF 0 = 02100403E 
109.594> 00000001 FFFFFFFF 0 = 02100407E 
109.607> 00000001 FFFFFFFF 0 = 02100607E 
109.805> 00000001 FFFFFFFF 0 = 02100627E 
109.861> 00000001 FFFFFFFF 0 = 02500627E 
109.969> 00000001 FFFFFFFF 0 = 02D00627E 
110.172> 00000001 FFFFFFFF 0 = 02D00627C 
110.593> 00000001 FFFFFFFF 0 = 02D00727C 
 110.81> 00000001 FFFFFFFF 0 = 02D007278 
110.954> 00000001 FFFFFFFF 0 = 02D0072F8 
111.156> 00000001 FFFFFFFF 0 = 02D0272F8 
 111.18> 00000001 FFFFFFFF 0 = 02D0672F8 
111.609> 00000001 FFFFFFFF 0 = 02D0672F0 
111.613> 00000001 FFFFFFFF 0 = 02D1672F0 
 111.87> 00000001 FFFFFFFF 0 = 02D1672E0 
112.196> 00000001 FFFFFFFF 0 = 02D16F2E0 
112.278> 00000001 FFFFFFFF 0 = 02D17F2E0 
112.351> 00000001 FFFFFFFF 0 = 02D17F3E0 
112.357> 00000001 FFFFFFFF 0 = 02D97F3E0 
112.393> 00000001 FFFFFFFF 0 = 02D9FF3E0 
112.538> 00000001 FFFFFFFF 0 = 02DDFF3E0 
112.799> 00000001 FFFFFFFF 0 = 02DFFF3E0 
112.959> 00000001 FFFFFFFF 0 = 02FFFF3E0 
113.342> 00000001 FFFFFFFF 0 = 0AFFFF3E0 
113.467> 00000001 FFFFFFFF 0 = 0EFFFF3E0 
113.673> 00000001 FFFFFFFF 0 = 0EFFFFBE0 
 113.75> 00000001 FFFFFFFF 0 = 0EFFFFBC0 
 114.09> 00000001 FFFFFFFF 0 = 0EFFFFFC0 
114.764> 00000001 FFFFFFFF 0 = 0EFFFFF80 
115.002> 00000001 FFFFFFFF 0 = 0FFFFFF80 
116.484> 00000001 FFFFFFFF 0 = 0FFFFFF00 
117.123> 00000001 FFFFFFFF 0 = 0FFFFFD00 
117.229> 00000001 FFFFFFFF 0 = 0FFFFED00 
117.381> 00000001 FFFFFFFF 0 = 0FFFFE500 
118.352> 00000001 FFFFFFFF 0 = 0FFFFE100 
119.264> 00000001 FFFFFFFF 0 = 0FFFFA100 
 119.51> 00000001 FFFFFFFF 0 = 0FFFF8100 
120.155> 00000001 FFFFFFFF 0 = 0FFFF8000 
 121.25> 00000001 FFFFFFFF 0 = 0FFBF8000 
121.555> 00000001 FFFFFFFF 0 = 0FFBF0000 
121.607> 00000001 FFFFFFFF 0 = 0FF9F0000 
122.363> 00000001 FFFFFFFF 0 = 0FF9E0000 
122.471> 00000001 FFFFFFFF 0 = 0FF1E0000 
122.801> 00000001 FFFFFFFF 0 = 0FF0E0000 
123.463> 00000001 FFFFFFFF 0 = 0FF0C0000 
123.486> 00000001 FFFFFFFF 0 = 0FF040000 
123.495> 00000001 FFFFFFFF 0 = 0FF000000 
124.139> 00000001 FFFFFFFF 0 = 0FE000000 
124.245> 00000001 FFFFFFFF 0 = 1FE000000 
124.742> 00000001 FFFFFFFF 0 = 1DE000000 
124.779> 00000001 FFFFFFFF 0 = 1DA000000 
124.879> 00000001 FFFFFFFF 0 = 1D2000000 
126.217> 00000001 FFFFFFFF 0 = 152000000 
127.538> 00000001 FFFFFFFF 0 = 112000000 
127.546> 00000001 FFFFFFFF 0 = 102000000 
127.588> 00000001 FFFFFFFF 0 = 100000000 
  200.0> FFFFFFFF 00000001 0 = 100000000 
208.756> FFFFFFFF 00000001 0 = 100000010 
209.021> FFFFFFFF 00000001 0 = 100000014 
209.108> FFFFFFFF 00000001 0 = 10000001C 
 209.34> FFFFFFFF 00000001 0 = 10040001C 
209.412> FFFFFFFF 00000001 0 = 10041001C 
209.424> FFFFFFFF 00000001 0 = 100410014 
209.468> FFFFFFFF 00000001 0 = 100410010 
209.516> FFFFFFFF 00000001 0 = 120410010 
209.594> FFFFFFFF 00000001 0 = 120410050 
209.607> FFFFFFFF 00000001 0 = 120412050 
209.685> FFFFFFFF 00000001 0 = 120412040 
209.757> FFFFFFFF 00000001 0 = 128412040 
209.815> FFFFFFFF 00000001 0 = 128412000 
209.819> FFFFFFFF 00000001 0 = 128412008 
209.861> FFFFFFFF 00000001 0 = 12C412008 
209.911> FFFFFFFF 00000001 0 = 12C012008 
209.953> FFFFFFFF 00000001 0 = 12C812008 
209.969> FFFFFFFF 00000001 0 = 124812008 
210.046> FFFFFFFF 00000001 0 = 124816008 
 210.08> FFFFFFFF 00000001 0 = 124816018 
210.168> FFFFFFFF 00000001 0 = 124C16018 
 210.24> FFFFFFFF 00000001 0 = 104C16018 
210.262> FFFFFFFF 00000001 0 = 10CC16018 
210.268> FFFFFFFF 00000001 0 = 10CE16010 
210.298> FFFFFFFF 00000001 0 = 10CE14010 
210.529> FFFFFFFF 00000001 0 = 10CE14000 
210.637> FFFFFFFF 00000001 0 = 10CE14020 
210.684> FFFFFFFF 00000001 0 = 10CC14020 
210.954> FFFFFFFF 00000001 0 = 10CC140A0 
211.024> FFFFFFFF 00000001 0 = 10CC040A0 
 211.08> FFFFFFFF 00000001 0 = 10CC04020 
211.156> FFFFFFFF 00000001 0 = 10CC24020 
 211.18> FFFFFFFF 00000001 0 = 10CC64020 
211.245> FFFFFFFF 00000001 0 = 10CD64020 
 211.28> FFFFFFFF 00000001 0 = 10CD640A0 
211.323> FFFFFFFF 00000001 0 = 10CD440A0 
211.373> FFFFFFFF 00000001 0 = 10CD442A0 
211.452> FFFFFFFF 00000001 0 = 10CF442A0 
211.478> FFFFFFFF 00000001 0 = 10CE442A0 
211.479> FFFFFFFF 00000001 0 = 10CE452A0 
211.565> FFFFFFFF 00000001 0 = 10CE45280 
  211.6> FFFFFFFF 00000001 0 = 10CEC5280 
211.651> FFFFFFFF 00000001 0 = 10CEC52C0 
211.865> FFFFFFFF 00000001 0 = 10CCC52C0 
211.871> FFFFFFFF 00000001 0 = 10CC452C0 
211.876> FFFFFFFF 00000001 0 = 10CC052C0 
 211.96> FFFFFFFF 00000001 0 = 10CC052E0 
211.965> FFFFFFFF 00000001 0 = 10CC056E0 
212.012> FFFFFFFF 00000001 0 = 10CC046E0 
212.284> FFFFFFFF 00000001 0 = 10C8046E0 
212.308> FFFFFFFF 00000001 0 = 12C8046E0 
212.357> FFFFFFFF 00000001 0 = 12C0046E0 
212.409> FFFFFFFF 00000001 0 = 12C0046C0 
212.466> FFFFFFFF 00000001 0 = 13C0046C0 
212.514> FFFFFFFF 00000001 0 = 1340046C0 
212.538> FFFFFFFF 00000001 0 = 1344046C0 
212.579> FFFFFFFF 00000001 0 = 134404680 
212.585> FFFFFFFF 00000001 0 = 134404E80 
212.598> FFFFFFFF 00000001 0 = 136404E80 
212.602> FFFFFFFF 00000001 0 = 136404A80 
212.613> FFFFFFFF 00000001 0 = 132404A80 
212.621> FFFFFFFF 00000001 0 = 132414A80 
212.678> FFFFFFFF 00000001 0 = 1B2414A80 
212.728> FFFFFFFF 00000001 0 = 1B2410A80 
212.799> FFFFFFFF 00000001 0 = 1B2610A80 
 212.86> FFFFFFFF 00000001 0 = 1F2610A80 
 212.88> FFFFFFFF 00000001 0 = 1B2610A80 
212.909> FFFFFFFF 00000001 0 = 1B2410A80 
212.959> FFFFFFFF 00000001 0 = 1B0410A80 
212.974> FFFFFFFF 00000001 0 = 1B0410AC0 
213.052> FFFFFFFF 00000001 0 = 1B04102C0 
213.116> FFFFFFFF 00000001 0 = 1F04102C0 
213.206> FFFFFFFF 00000001 0 = 1F0410240 
213.342> FFFFFFFF 00000001 0 = 170410240 
213.371> FFFFFFFF 00000001 0 = 1704102C0 
213.423> FFFFFFFF 00000001 0 = 170410280 
213.467> FFFFFFFF 00000001 0 = 130410280 
213.514> FFFFFFFF 00000001 0 = 130414280 
213.623> FFFFFFFF 00000001 0 = 130414080 
213.673> FFFFFFFF 00000001 0 = 130414880 
213.721> FFFFFFFF 00000001 0 = 130434880 
 213.76> FFFFFFFF 00000001 0 = 130436880 
213.776> FFFFFFFF 00000001 0 = 130036880 
213.806> FFFFFFFF 00000001 0 = 13003E880 
213.881> FFFFFFFF 00000001 0 = 13003E080 
213.912> FFFFFFFF 00000001 0 = 13013E080 
 214.01> FFFFFFFF 00000001 0 = 13013E280 
 214.09> FFFFFFFF 00000001 0 = 13013E680 
214.116> FFFFFFFF 00000001 0 = 13013F680 
214.121> FFFFFFFF 00000001 0 = 12013F680 
214.268> FFFFFFFF 00000001 0 = 12013FE80 
214.299> FFFFFFFF 00000001 0 = 12013FE00 
214.303> FFFFFFFF 00000001 0 = 12013DE00 
214.319> FFFFFFFF 00000001 0 = 12017DE00 
